Datetime,Temperature,Turbidity,Dissolved Oxygen,PH,Ammonia,Nitrate
2021-06-19 04:17:00,24.5,100.0,1.808,8.43365,0.38,190.0
2021-06-19 04:18:00,24.5,100.0,30.157,8.43365,0.38,192.0
2021-06-19 04:19:00,24.5,100.0,2.476,8.43365,0.38,194.0
2021-06-19 04:20:00,24.5,100.0,35.964,8.42911,0.38,193.0
2021-06-19 04:21:00,24.5,100.0,16.498,8.42457,0.38,193.0
2021-06-19 04:22:00,24.5,100.0,3.989,8.42457,0.38,192.0
2021-06-19 04:23:00,24.5,100.0,11.047,8.42911,0.38,196.0
2021-06-19 04:24:00,24.5,100.0,6.694,8.42457,0.38,192.0
2021-06-19 04:25:00,24.5,100.0,3.093,8.43818,0.38,195.0
2021-06-19 04:26:00,24.5,100.0,1.504,8.43365,0.38,191.0
2021-06-19 04:27:00,24.5,100.0,2.417,8.43818,0.38,209.0
2021-06-19 04:28:00,24.5,100.0,9.77,8.41549,0.38,191.0
2021-06-19 04:29:00,24.4375,100.0,12.365,8.42911,0.38,196.0
2021-06-19 04:30:00,24.4375,100.0,2.696,8.42911,0.38,193.0
2021-06-19 04:31:00,24.5,100.0,6.178,8.42911,0.38,194.0
2021-06-19 04:32:00,24.5,100.0,2.628,8.42003,0.38,195.0
2021-06-19 04:33:00,24.5,100.0,2.315,8.42457,0.38,194.0
2021-06-19 04:34:00,24.5,100.0,5.054,8.42911,0.38,193.0
2021-06-19 04:35:00,24.5,100.0,4.133,8.42911,0.38,194.0
2021-06-19 04:36:00,24.5,100.0,4.454,8.42457,0.38,191.0
2021-06-19 04:37:00,24.5,100.0,3.473,8.42911,0.38,193.0
2021-06-19 04:38:00,24.5,100.0,4.073,8.42457,0.38,194.0
2021-06-19 04:39:00,24.5,100.0,4.505,8.42911,0.38,199.0
2021-06-19 04:40:00,24.5,100.0,13.734,8.44726,0.38,194.0
2021-06-19 04:41:00,24.5,100.0,3.507,8.43365,0.38,194.0
2021-06-19 04:42:00,24.4375,100.0,26.734,8.43365,0.38,192.0
2021-06-19 04:43:00,24.5,100.0,30.199,8.43818,0.38,193.0
2021-06-19 04:44:00,24.5,100.0,3.321,8.42911,0.38,193.0
2021-06-19 04:45:00,24.4375,100.0,7.15,8.43365,0.38,192.0
2021-06-19 04:46:00,24.4375,100.0,4.217,8.42003,0.38,193.0
2021-06-19 04:47:00,24.5,100.0,4.268,8.42911,0.38,193.0
2021-06-19 04:48:00,24.4375,100.0,7.733,8.42911,0.38,194.0
2021-06-19 04:49:00,24.5,100.0,7.099,8.42911,0.38,195.0
2021-06-19 04:50:00,24.4375,100.0,17.166,8.42911,0.38,192.0
2021-06-19 04:51:00,24.5,100.0,2.992,8.42003,0.38,183.0
2021-06-19 04:52:00,24.5,100.0,2.916,8.43365,0.38,192.0
2021-06-19 04:53:00,24.4375,100.0,5.147,8.42911,0.38,192.0
2021-06-19 04:54:00,24.4375,100.0,29.658,8.42911,0.38,193.0
2021-06-19 04:55:00,24.4375,100.0,5.012,8.42003,0.38,192.0
2021-06-19 04:56:00,24.4375,100.0,25.593,8.42457,0.38,192.0
2021-06-19 04:57:00,24.5,100.0,29.997,8.48358,0.38,193.0
2021-06-19 04:58:00,24.5,100.0,29.405,8.41549,0.38,207.0
2021-06-19 04:59:00,24.4375,100.0,4.133,8.42911,0.38,194.0
2021-06-19 05:00:00,24.4375,100.0,16.076,8.42457,0.38,195.0
2021-06-19 05:01:00,24.4375,100.0,35.922,8.42003,0.38,194.0
2021-06-19 05:02:00,24.4375,100.0,38.407,8.42911,0.38,192.0
2021-06-19 05:03:00,24.4375,100.0,21.122,8.42911,0.38,195.0
